					  
"About_BuiltPrefix" "Built %1"
"Advanced_ReprojectedFrame" "Reprojected w/o Motion Smoothing"
"Advanced_ReprojectionOff" "Reprojection Off"
"Advanced_ReprojectionOn" "Reprojection On"
"Advanced_Reset" "Reset"
"Advanced_RoomOverview" "Chaperone"
"Advanced_RuntimePath" "SteamVR Path:"
"Advanced_SaveFrameDataNow" "Save Frame Data"
"Advanced_SetNewPath" "Set new path..."
"Advanced_Title" "Advanced"
"Advanced_USB" "USB"
"BS20_ConfigureChannel_Apply"								"Apply"	
"BS20_ConfigureChannel_AutoConfigContinue"					"There are %1 potential channel conflicts that can be automatically resolved by re-assigning their channels. Continue and resolve conflicts?"
"BS20_ConfigureChannel_AutoConfig_Incomplete"				"Automatic Configuration completed.\n\nThere are %1 remaining potential channel conflicts. You may need to manually configure channels."
"BS20_ConfigureChannel_AutoConfig_NoChannelConflictsFound"	"There are no channel conflicts."
"BS20_ConfigureChannel_AutoConfig_NoFreeChannels"			"There are no free channels to resolve %1 potential channel conflicts. You may need to manually configure channels."
"BS20_ConfigureChannel_AutoConfig_NotEnoughFreeChannels"	"There are only enough free channels to resolve %1 out of %2 potential channel conflicts. Continue and resolve conflicts?"
"BS20_ConfigureChannel_AutoConfig_SuccessfulCompletion"		"Automatic Configuration completed.\n\nThere are no channel conflicts."
"BS20_ConfigureChannel_AutoConfig_UnknownChannels"			"There are %1 Base Stations whose channels could not be determined that may result in potential channel conflicts.\n"
"BS20_ConfigureChannel_AutomaticConfiguration"				"Automatic Configuration"
"BS20_ConfigureChannel_BaseStationName"						"Configuring %1 on Channel %2"
"BS20_ConfigureChannel_BluetoothRequired"					"Channel configuration requires Bluetooth communication to be enabled.\n\nPlease enable Bluetooth communication in Settings."
"BS20_ConfigureChannel_CancelledConnection"					"%1 connection cancelled. Click channel link to try again."
"BS20_ConfigureChannel_Channel"								"Channel: %1"
"BS20_ConfigureChannel_ChannelConfigurationFailure"			"%1 failed to accept the requested channel configuration."
"BS20_ConfigureChannel_ConflictLegend"						"Channel conflict with another Base Station."
"BS20_ConfigureChannel_ConflictOnChannel"					"Potential conflict on Channel %1"
"BS20_ConfigureChannel_ConflictWarning"						"%1 is using the same channel as another Base Station."
"BS20_ConfigureChannel_Connecting"							"Connecting..."
"BS20_ConfigureChannel_ConnectionFailure"					"%1 failed to connect."
"BS20_ConfigureChannel_Description"							"Select an unused channel for this Base Station to avoid potential tracking conflicts."
"BS20_ConfigureChannel_ErrorLegend"							"Click on channel link for more information."
"BS20_ConfigureChannel_FailedToConnectRetry"				"%1 failed to connect. Click 'Retry' to try again."
"BS20_ConfigureChannel_FirmwareUpdateRequired"				"%1 requires a device update to enable channel configuration."
"BS20_ConfigureChannel_Identify"							"Click to identify Base Station."
"BS20_ConfigureChannel_IdentifyRequiresFirmareUpdate"		"%1 requires a device update to enable device identification."
"BS20_ConfigureChannel_InUseByPrefix"						"Currently used by:"
"BS20_ConfigureChannel_Legend"								"Denotes a channel used by other Base Stations in radio proximity."
"BS20_ConfigureChannel_NoConflictOnChannel"					"No conflict on Channel %1"
"BS20_ConfigureChannel_ObservedInTracking"					"Observed in a prior tracking session."
"BS20_ConfigureChannel_ProgressCancelling"					"\nCancelling...\n"
"BS20_ConfigureChannel_ProgressConnecting"					"\nConnecting To Base Stations...\n"
"BS20_ConfigureChannel_ProgressScanComplete"				"Scan Completed.\n\nClick on a channel link to change it."
"BS20_ConfigureChannel_ProgressScanNoStationsFound"			"Scan Completed.\n\nThere are no broadcasting 2.0 Base Stations within your proximity."
"BS20_ConfigureChannel_ProgressScanning"					"Scanning For Base Stations...\n\n%1 Seconds Remaining."
"BS20_ConfigureChannel_ProgressWritingChannel"				"\nWriting Channel...\n"
"BS20_ConfigureChannel_RSSI"								"RSSI: %1"
"BS20_ConfigureChannel_ScanForMore"							"Scan For More"
"BS20_ConfigureChannel_Title"								"Base Station 2.0 Channel Configuration"
"BS20_ConfigureChannel_VisibleNowInTracking"				"Visible now in this tracking session."
"BS20_UpdateRecovery_BluetoothRequired"						"Update recovery requires Bluetooth communication to be enabled.\n\nPlease enable Bluetooth communication in Settings."
"BS20_UpdateRecovery_FoundStations"							"Scan Completed.<br><br><font color=#ffffff>These Base Stations have incomplete updates.<br><br>Please select a Base Station and click 'Recover Device' to continue.</font>"
"BS20_UpdateRecovery_Incomplete"							"Scanning For Base Stations...\n\nIncomplete."
"BS20_UpdateRecovery_NoStationsFound"						"Scan Completed.\n\nThere are no broadcasting Base Stations needing recovery within proximity."
"BS20_UpdateRecovery_Refresh"								"Scan Again"
"BS20_UpdateRecovery_Scanning"								"Scanning For Base Stations...\n\n%1 Seconds Remaining."
"BS20_UpdateRecovery_Title"									"Base Station 2.0 Update Recovery"
"BS20_UpdateRecovery_UpdateDevice"							"Recover Device"
"BS_PowerManagement_BaseStations"							"Managed Base Stations"
"BS_PowerManagement_ConnectionFailureLegend"				"Connection failure. Click 'Refresh' to try again."
"BS_PowerManagement_Enable"									"Enable Power Management *"
"BS_PowerManagement_Enable_Explanation"						"Power managed Base Stations go into standby mode when SteamVR is not in use, and wake up again when SteamVR starts.\n"
"BS_PowerManagement_Enable_Warning"							"<font color=#ffffff>* NOT RECOMMENDED for shared tracking spaces with multiple SteamVR users.</font>"
"BS_PowerManagement_FailedToConnectRefresh"					"%1 failed to connect. Click 'Refresh' to try again."
"BS_PowerManagement_ForgetBase"								"Forget this device"
"BS_PowerManagement_FullStandby"							"Sleep"
"BS_PowerManagement_FullStandby_Explanation"				"Base Stations will power off their lasers and motors."
"BS_PowerManagement_Identify"								"Click to identify Base Station."
"BS_PowerManagement_IdentifyRequiresFirmareUpdate"			"%1 requires a device update to enable device identification."
"BS_PowerManagement_ObservedInTracking"						"Observed in a prior tracking session."
"BS_PowerManagement_PartialStandby"							"Standby" 
"BS_PowerManagement_PartialStandby_Explanation"				"Base Stations will power off only their lasers for a faster wake up when SteamVR starts."
"BS_PowerManagement_PartialStandby_HybridExplanation"		"Base Station 2.0 will power off only their lasers for a faster wake up when SteamVR starts."
"BS_PowerManagement_RefreshLink"							"Refresh"
"BS_PowerManagement_Title"									"Base Station Power Management"
"BS_PowerManagement_VisibleNowInTracking"					"Visible now in this tracking session."
"BS_PromotePowerManagement_Enable"							"Enable Base Station Power Management *"
"BS_PromotePowerManagement_ExitNow"							"Exit Now (%1)"
"BS_PromotePowerManagement_Explanation"						"SteamVR can power manage your Base Stations.<br><br>Power managed Base Stations go into standby mode when SteamVR is not in use and wake up again when SteamVR starts.<br>"
"BS_PromotePowerManagement_Explanation2"					"<br><font color=#ffffff>* NOT RECOMMENDED for shared tracking spaces with multiple SteamVR users.</font>"
"BS_PromotePowerManagement_Title"							"SteamVR"
"BaseStation_Channel_Text" "Channel %1"
"BaseStation_Mode_Text" "Mode %1"
"BluetoothControllerStatus_BluetoothDriverInstalling"		"Installing Bluetooth driver..."
"BluetoothControllerStatus_BluetoothDriverNeedsUpdate"		"Link Box Bluetooth driver needs to be updated."
"BluetoothControllerStatus_BluetoothDriverNotInstalled"		"Link Box Bluetooth driver not installed."
"BluetoothControllerStatus_Connected"						"Bluetooth connected"
"BluetoothControllerStatus_Connecting"						"Connecting..."
"BluetoothControllerStatus_Disconnecting"					"Disconnecting..."
"BluetoothControllerStatus_FailedConnection"				"Bluetooth connection failed. Check link box connections, then unplug and replug power to the link box to reset it, then restart SteamVR."
"BluetoothControllerStatus_LinkBoxNotDetected"				"Link Box with Bluetooth capability not detected. Check link box connections, then unplug and replug power to the link box to reset it, then restart SteamVR."
"BluetoothControllerStatus_NoBluetoothDevice"				"Bluetooth capability not detected."
"BluetoothControllerStatus_NoBluetoothDeviceUpdateNeeded"	"Bluetooth capability not detected. A device update is needed to enable this feature. Hover over the headset icon and select Update Device."
"BluetoothControllerStatus_ServiceError"					"Bluetooth Error: BT-%1"
"BluetoothControllerStatus_ServiceNotFound"					"Bluetooth capability not found. Please verify your SteamVR installation."
"BluetoothControllerStatus_Unknown"							"Unknown"
"BluetoothLinkStatus_Running" "Running"
"BluetoothLinkStatus_SemaphoreFileNotAccessible" "Bluetooth error"
"BluetoothLinkStatus_StoppedOrPaused" "Stopped"
"BluetoothLinkStatus_Transient" "Changing"
"BluetoothLinkStatus_Unknown" "Unknown"
"BluetoothLinkStatus_ViveLinkNotAccessible" "Bluetooth error"
"BluetoothLinkStatus_WrongToken" "Bluetooth error"
"BugReporter_CharactersRemaining" "%1 Characters Remaining"
"BugReporter_Description" "Description:"
"BugReporter_DescriptionRequired" "Please supply a description."
"BugReporter_Explanation" "Thank you for helping Valve improve SteamVR.\n\nThis bug reporter generates a SteamVR System Report which gathers system, environment, and SteamVR logging for use by Valve for diagnostics."
"BugReporter_FailedToCreateZip" "Failed to create ZIP attachment."
"BugReporter_ForPersonalSupport" "This is not a support ticket and you will not receive a direct response. To receive personalized SteamVR support from an agent, please visit the support site."
"BugReporter_IncludeCrashDumps" "Include Crash Dumps"
"BugReporter_IncludeReportAndLogs" "Include System Report and Logs"
"BugReporter_InitializationFailure" "Report a Bug failed to initialize.\n\nError: BR-%1"
"BugReporter_NotAvailable" "Report a Bug is not available on this version of SteamVR."
"BugReporter_Owner"	"Owner:"
"BugReporter_PreviewReport" "Preview Report"
"BugReporter_PreviewReportTitle" "Report a Bug - Preview Report"
"BugReporter_Priority" "Priority:"
"BugReporter_ProgressSubmitting" "Submitting..."
"BugReporter_ProgressSubmittingPercent" "Submitting...%1%"
"BugReporter_ReportType"	"Report Type:"
"BugReporter_ReportType_Bug" "Bug"
"BugReporter_ReportType_FeatureRequest" "Feature Request"
"BugReporter_ReportType_Feedback" "Feedback"
"BugReporter_SteamLoginRequired" "You need to be logged in to your Steam account to Report a Bug."
"BugReporter_SteamVRSupport" "SteamVR Support"
"BugReporter_Subject" "Subject:"
"BugReporter_SubjectRequired" "Please supply a subject."
"BugReporter_SubmissionFailure"	"Submission Failure.\n\nThe Bug Collector may be busy. Please try submitting again.\n\nError: BR-%1\n"
"BugReporter_SubmissionSuccess"	"Submission Successful.\n\nYou should receive a confirmation email shortly."
"BugReporter_SubmissionTimeout" "Submission Timeout.\n\nThe network upload is taking longer than expected. Please try again later.\n"
"BugReporter_Title"	"Report a Bug"
"Button_ResetCollisionBounds" "Reset to Default"
"CalibrateControllerTrackpad_End_LowerText" ""
"CalibrateControllerTrackpad_End_UpperText" "Your controller's trackpad is now calibrated."
"CalibrateControllerTrackpad_Progress_LowerText" ""
"CalibrateControllerTrackpad_Progress_UpperText" "Calibrating trackpad ..."
"CalibrateControllerTrackpad_Start_LowerText" "Make sure you are not touching the trackpad and click Next to continue."
"CalibrateControllerTrackpad_Start_UpperText" "This will calibrate your controller's trackpad. You should calibrate the trackpad if it seems jittery or you are seeing unexpected touches."
"CalibrateControllerTrackpad_Success" "Success!"
"CalibrateControllerTrackpad_Title" "Calibrate Controller Trackpad"
"CollisionBounds_Advanced" "Advanced"
"CollisionBounds_Beginner" "Beginner"
"CollisionBounds_Developer" "Developer"
"CollisionBounds_Intermediate" "Intermediate"
"CollisionBounds_Squares" "Squares"
"CompositorBackground_Color"		"Color"
"CompositorBackground_Header"		"Background Style"
"CompositorBackground_Image"		"Image"
"CompositorError_FailedToStartButNoError" ""
"CompositorError_NoCompositorRequested" "SteamVR Error"
"CompositorError_Running" "Running"
"Compositor_ResetToDefault" 		"Reset to Default"
"Compositor_SelectColorHeader"		"Select a color for your in-headset background."
"Compositor_SelectImage"			"Select Image..."
"Compositor_SelectImageHeader"		"Select an image for your in-headset background."
"DismissableWarning_BasestationSingleBaseModeHint" "Base Station Tip (0x0008)"
"DismissableWarning_BasestationsSyncOnBeamChannelConflict" "Base Station Conflict (0x400000)"
"DismissableWarning_BasestationsTooFarApart" "Base Stations Too Far Apart (0x0002)"
"DismissableWarning_BluetoothDriverNeedsInstallation" "Bluetooth driver required (0x0080)"
"DismissableWarning_BluetoothDriverNeedsUpdate" "Bluetooth driver update required (0x0100)"
"DismissableWarning_BluetoothLinkCommunicationFailed" "Bluetooth communication failed (0x0800)"
"DismissableWarning_BluetoothLinkServiceError" "Bluetooth unavailable (0x0400)"
"DismissableWarning_BluetoothLinkServiceNotFound" "Bluetooth unavailable (0x0200)"
"DismissableWarning_Detected" "Detected"
"DismissableWarning_DismissButton" "Dismiss"
"DismissableWarning_DisplayInExtendedMode" "Display Warning (0x10000)"
"DismissableWarning_MissedFrames" "Missed Frames (0x0020)"
"DismissableWarning_None" " "
"DismissableWarning_OpticalBasestationSyncWarning" "Base Station Warning (0x0004)"
"DismissableWarning_PowerSchemeIsNotHighPerformance" "Performance Error (0x0040)"
"DismissableWarning_RunTutorialAgain" "Begin Tutorial (0x0001)"
"DismissableWarning_SomeDisplaysAreMirroring" "Some displays are mirroring (0x1000)"
"DismissableWarning_SteamVRInSafeMode" "SteamVR Safe Mode (0x1000000)"
"DismissableWarning_TimeFormat" "h:mm AP"
"DismissableWarning_UnknownHardwareDetected" "New Device Detected (0x2000)"
"DismissableWarning_WarningsForTheFirstTime" "Warnings for the first time (0x0010)"
"DismissableWarning_Windows8" "Windows 8 (0x8000)"
"DismissableWarning_WindowsAeroDisabled" "Display Warning (0x4000)"
"Explanation_DisableEnhancedPowerManagement" "Disable Windows Enhanced Power Management for SteamVR USB Devices if you experience mysterious loss of tracking or inability to pair wireless controllers. "
"Explanation_QuickCalibrate" "Quickly reset your Room Setup. For Standing and Room Scale VR, new bounds will be centered on your headset on the floor in the center of your space."
"Explanation_RebootVive" "Restarting your headset may fix USB-related issues."
"Explanation_RemoveAllSteamVRUSBDevices" "Remove all USB devices related to SteamVR from this system to reinstall drivers."
"Explanation_ResetDismissableWarnings" "Temporary warnings are reset and will show again as needed."
"Explanation_ResetRuntimeAndQuit" "Reset your SteamVR path based on the directory SteamVR is launched from."
"Explanation_RestartSteamVR" "Restarting SteamVR may fix USB-related issues."
"Explanation_Supersampling" "*Some applications may need to be restarted for settings to take effect."
"Explanation_SupersamplingFiltering" "Supersampling Filtering Options"
"Explanation_Supersampling_Header" "SteamVR automatically sets your application resolution based on the performance of your GPU."
"FirmwareWizard_AudioBridgeUpdate" "Device Update"
"FirmwareWizard_AudioUpdate" "Audio Update"
"FirmwareWizard_BaseStationBluetoothBootloaderUpdate" "Device Update"
"FirmwareWizard_BaseStationBluetoothMCUUpdate" "Device Update"
"FirmwareWizard_BaseStationBluetoothRadioUpdate" "Device Update"
"FirmwareWizard_CameraRecovery" "Camera Update"
"FirmwareWizard_CameraUpdate" "Camera Update"
"FirmwareWizard_DeviceOverview_FailedToUpdate" "Failed To Update"
"FirmwareWizard_DeviceOverview_LookingForDevice" "Looking For Device...."
"FirmwareWizard_DeviceOverview_Nagging_Title" "Device Updates Required"
"FirmwareWizard_DeviceOverview_NoUpdateDataAvailable" "No update data available"
"FirmwareWizard_DeviceOverview_TextContent" "Which device would you like to update?"
"FirmwareWizard_DeviceOverview_TextContent_Nag" "Required device updates are available. Select a device to update."
"FirmwareWizard_DeviceOverview_Title" "Update Device"
"FirmwareWizard_DeviceOverview_UpToDate" "Up to date"
"FirmwareWizard_DeviceOverview_UpdateAvailable" "Update available"
"FirmwareWizard_DeviceOverview_WirelessServicesRequired" "This Update requires Wireless Services"
"FirmwareWizard_DisplayFPGAUpdate" "Display Update"
"FirmwareWizard_DisplayUpdate" "Display Update"
"FirmwareWizard_DongleUpdate" "Wireless Receiver Update"
"FirmwareWizard_EnterBootloaderMode" "Preparing to update..."
"FirmwareWizard_ExitBootloaderMode" "Finishing update..."
"FirmwareWizard_ImageBridgeUpdate" "Device Update"
"FirmwareWizard_Information_Title" "Device Update"
"FirmwareWizard_Nag_Title" "Recommended Device Update"
"FirmwareWizard_ProgressPercent" "[ %1% ]"
"FirmwareWizard_ProgressPercentFinishing" "[ Finishing... ]"
"FirmwareWizard_ProgressPercentStarting" "[ Starting... ]"
"FirmwareWizard_ProgressTextLeft" "("
"FirmwareWizard_ProgressTextMiddle" "of"
"FirmwareWizard_ProgressTextRight" ")"
"FirmwareWizard_RadioUpdate" "Radio Update"
"FirmwareWizard_ShutdownForMandatoryUpdate_TextContent" "Your headset requires a device update to continue using SteamVR.\n\nWould you like to continue?"
"FirmwareWizard_ShutdownForRecovery_TextContent" "A component of your hardware requires a device update to restore it to an operational state.\n\nWould you like to continue?"
"FirmwareWizard_Shutdown_TextContent" "To update your device, SteamVR will need to quit any currently running VR applications.\n\nWould you like to continue?"
"FirmwareWizard_Shutdown_Title" "Update Device"
"FirmwareWizard_UpdateBasestationWireless_Fail_BaseNeedsPowerCycle" "This Base Station needs to be power cycled to continue the update.<br><br><font color=#aaaa00>Please unplug and then replug the Base Station's power cable before continuing.</font>"
"FirmwareWizard_UpdateBasestationWireless_Fail_BaseStuckInDFU" "An unexpected USB connection to the Base Station is preventing the wireless update from finishing.<ul><li><font color=#aaaa00>Unplug the Base Station's power cable.<li>Unplug the USB cable that is plugged into the Base Station.<li>Replug only the Base Station's power cable.<li>Wait 30 seconds for the Base Station to finish its internal update.</font></ul><br>The Base Station LED may be off during its internal update.<br>Do not unplug or make any other connections to the Base Station during its update."
"FirmwareWizard_UpdateBasestationWireless_Fail_ClickCancel" "Click 'Cancel' below to restart SteamVR."
"FirmwareWizard_UpdateBasestationWireless_Fail_ClickRetry" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateBasestationWireless_Fail_MiddleText" "If this device update continues to fail without making progress... <ul><li>Quit SteamVR.<li>Unplug and replug the Base Station power cable.<li>Launch SteamVR, and try again.</ul>"
"FirmwareWizard_UpdateBasestationWireless_Fail_MiddleText_BS20" "If this device update continues to fail without making progress... <ul><li>Quit SteamVR.<li>Unplug any USB cable connected to the Base Station.<li>Do NOT connect USB to the Base Station.<li>Unplug and replug the Base Station power cable.<li>Launch SteamVR and try again.</ul>"
"FirmwareWizard_UpdateBasestationWireless_Fail_MiddleText_UsingLinkBox" "If this device update continues to fail without making progress... <ul><li>Quit SteamVR.<li>Unplug and replug the Link Box power cable.<li>Unplug and replug the Base Station power cable.<li>Launch SteamVR, and try again.</ul>"
"FirmwareWizard_UpdateBasestationWireless_Fail_MiddleText_UsingLinkBox_BS20" "If this device update continues to fail without making progress... <ul><li>Quit SteamVR.<li>Unplug any USB cable connected to the Base Station.<li>Do NOT connect USB to the Base Station.<li>Unplug and replug the Link Box power cable.<li>Unplug and replug the Base Station power cable.<li>Launch SteamVR and try again.</ul>"
"FirmwareWizard_UpdateBasestationWireless_Fail_NonceRejected" "This Base Station needs to be rediscovered optically by a restart of SteamVR before the update can proceed."
"FirmwareWizard_UpdateBasestationWireless_Fail_PairingLockout" "This Base Station needs to be power cycled and rediscovered optically by a restart of SteamVR before the update can proceed. Please unplug and then replug the Base Station's power cable."
"FirmwareWizard_UpdateBasestationWireless_Fail_Title" " Base Station Update Failed"
"FirmwareWizard_UpdateBasestationWireless_Fail_USBConnected" "An unexpected USB connection to the Base Station is preventing the wireless update.<br><br><font color=#aaaa00>Please unplug the USB cable that is plugged into the Base Station.</font>"
"FirmwareWizard_UpdateBasestationWireless_Fail_UpperText" "This device update failed."
"FirmwareWizard_UpdateBasestationWireless_Fail_VersionRejected" "This Base Station has a newer version of the update and has rejected it. Please unplug and then replug the Base Station's power cable."
"FirmwareWizard_UpdateBasestationWireless_Success_LowerText" ""
"FirmwareWizard_UpdateBasestationWireless_Success_MiddleText_BS10" "Base Station successfully updated. You may need to unplug and then replug your base station's power cable for it to register as updated."
"FirmwareWizard_UpdateBasestationWireless_Success_MiddleText_BS20" "Base Station successfully updated."
"FirmwareWizard_UpdateBasestationWireless_Success_Title" "Update Base Station"
"FirmwareWizard_UpdateBasestationWireless_Success_UpperText" "Success!"
"FirmwareWizard_UpdateBasestation_Bluetooth" "Wireless"
"FirmwareWizard_UpdateBasestation_Choice_LowerText" ""
"FirmwareWizard_UpdateBasestation_Choice_MiddleText" "The update can happen manually or wirelessly."
"FirmwareWizard_UpdateBasestation_Choice_Title" "Update Base Station"
"FirmwareWizard_UpdateBasestation_Choice_UpperText" ""
"FirmwareWizard_UpdateBasestation_Continue" "Continue"
"FirmwareWizard_UpdateBasestation_Fail_LowerText" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateBasestation_Fail_MiddleText" "Make sure your base station is securely connected to your computer by micro-USB. If this continues to fail, quit SteamVR and unplug your base station's power cable. Then launch SteamVR, and try again."
"FirmwareWizard_UpdateBasestation_Fail_Title" "Base Station Update Failed"
"FirmwareWizard_UpdateBasestation_Fail_UpperText" "This device update failed."
"FirmwareWizard_UpdateBasestation_Manual" "USB"
"FirmwareWizard_UpdateBasestation_Progress_LowerText" "WARNING: Do not unplug the base station, plug in any additional devices, or make any other system changes while this device is being updated. Doing so can render this base station unusable."
"FirmwareWizard_UpdateBasestation_Progress_MiddleText" "Updating base station. This could take several minutes..."
"FirmwareWizard_UpdateBasestation_Progress_Title" "Update Base Station"
"FirmwareWizard_UpdateBasestation_Progress_UpperText" ""
"FirmwareWizard_UpdateBasestation_Start_LowerText" "4. The update will start automatically once your base station is detected and you may release the channel button."
"FirmwareWizard_UpdateBasestation_Start_MiddleText" "1. Unmount and unplug your base station.\n\n2. Use a micro-USB cable to plug the base station into a USB port on your computer. You can use the same cable that is used to charge your controllers.\n\n3. While holding down the channel button on the back of the base station, plug in your base station's power cord."
"FirmwareWizard_UpdateBasestation_Start_Title" "Update Base Station"
"FirmwareWizard_UpdateBasestation_Start_UpperText" ""
"FirmwareWizard_UpdateBasestation_Success_LowerText" "When re-mounting, take care not to change your base stations' channels."
"FirmwareWizard_UpdateBasestation_Success_MiddleText" "Base Station successfully updated. You may need to unplug and then replug your base station's power cable for it to register as updated."
"FirmwareWizard_UpdateBasestation_Success_Title" "Update Base Station"
"FirmwareWizard_UpdateBasestation_Success_UpperText" "Success!"
"FirmwareWizard_UpdateBasestation_WirelessProgress_LowerText" "WARNING: Do not unplug the base station, plug in any additional devices, or make any other system changes while this device is being updated. Doing so can render this base station unusable."
"FirmwareWizard_UpdateBasestation_WirelessProgress_MiddleText" "Updating base station. This could take several minutes..."
"FirmwareWizard_UpdateBasestation_WirelessProgress_Title" "Update Base Station"
"FirmwareWizard_UpdateBasestation_WirelessProgress_UpperText" ""
"FirmwareWizard_UpdateBasestation_Wireless_LowerText" ""
"FirmwareWizard_UpdateBasestation_Wireless_MiddleText" "This update will happen wirelessly. Do not unplug your base stations while they are being updated."
"FirmwareWizard_UpdateBasestation_Wireless_Title" "Update Base Station"
"FirmwareWizard_UpdateBasestation_Wireless_UpperText" ""
"FirmwareWizard_UpdateController_Fail_LowerText" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateController_Fail_MiddleText" "Make sure your controller is securely connected to your computer by micro-USB. If this continues to fail, quit SteamVR. If your controller didn't turn off, turn it off by pressing and holding the system button. Then launch SteamVR and try again."
"FirmwareWizard_UpdateController_Fail_Title" "Device Update Failed"
"FirmwareWizard_UpdateController_Fail_UpperText" "Controller update failed."
"FirmwareWizard_UpdateController_Progress_LowerText" "WARNING: Do not unplug the controller, plug in any additional devices, or make any other system changes while this device is being updated. Doing so can render this controller unusable."
"FirmwareWizard_UpdateController_Progress_MiddleText" "Updating controller. This could take several minutes..."
"FirmwareWizard_UpdateController_Progress_Title" "Update Controller"
"FirmwareWizard_UpdateController_Progress_UpperText" "" 
"FirmwareWizard_UpdateController_Start_LowerText" "The update will start automatically once your controller is detected."
"FirmwareWizard_UpdateController_Start_MiddleText" "Plug this controller into your computer with a micro-USB cable. You can use the same cable that is used to charge your controllers."
"FirmwareWizard_UpdateController_Start_Title" "Update Controller"
"FirmwareWizard_UpdateController_Start_UpperText" ""
"FirmwareWizard_UpdateController_Success_LowerText" " "
"FirmwareWizard_UpdateController_Success_MiddleText" "Controller successfully updated. You may need to turn the controller off and then on again for it to register as updated."
"FirmwareWizard_UpdateController_Success_Title" "Update Controller"
"FirmwareWizard_UpdateController_Success_UpperText" "Success!"
"FirmwareWizard_UpdateGenericTracker_Fail_LowerText" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateGenericTracker_Fail_MiddleText" "Make sure your tracker is securely connected to your computer by micro-USB. If this continues to fail, quit SteamVR. If your tracker didn't turn off, turn it off by pressing and holding the system button. Then launch SteamVR and try again."
"FirmwareWizard_UpdateGenericTracker_Fail_Title" "Device Update Failed"
"FirmwareWizard_UpdateGenericTracker_Fail_UpperText" "Tracker update failed."
"FirmwareWizard_UpdateGenericTracker_Progress_LowerText" "WARNING: Do not unplug the tracker, plug in any additional devices, or make any other system changes while this device is being updated. Doing so can render this tracker unusable."
"FirmwareWizard_UpdateGenericTracker_Progress_MiddleText" "Updating tracker. This could take several minutes..."
"FirmwareWizard_UpdateGenericTracker_Progress_Title" "Update Tracker"
"FirmwareWizard_UpdateGenericTracker_Progress_UpperText" "" 
"FirmwareWizard_UpdateGenericTracker_Start_LowerText" "The update will start automatically once your tracker is detected."
"FirmwareWizard_UpdateGenericTracker_Start_MiddleText" "Plug this tracker into your computer with a micro-USB cable. You can use the same cable that is used to charge your tracker."
"FirmwareWizard_UpdateGenericTracker_Start_Title" "Update Tracker"
"FirmwareWizard_UpdateGenericTracker_Start_UpperText" ""
"FirmwareWizard_UpdateGenericTracker_Success_LowerText" " "
"FirmwareWizard_UpdateGenericTracker_Success_MiddleText" "Tracker successfully updated. You may need to turn the tracker off and then on again for it to register as updated."
"FirmwareWizard_UpdateGenericTracker_Success_Title" "Update Tracker"
