					  
"About_BuiltPrefix" "Built %1"
"Advanced_StatsWillBeLive" ""
"Advanced_Title" "Advanced"
"Advanced_USB" "USB"
"Audio_HDMI_Playback_Device_Name" "HTC VIVE HDMI Audio"
"Audio_USB_Playback_Device_Name" "HTC VIVE USB Audio"
"Audio_USB_Record_Device_Name" "HTC VIVE Microphone"
"BaseStation_Channel_Text" "Channel %1"
"BluetoothLinkStatus_Running" "Running"
"BluetoothLinkStatus_SemaphoreFileNotAccessible" "Sempahore not available"
"BluetoothLinkStatus_StoppedOrPaused" "Stopped"
"BluetoothLinkStatus_Transient" "Changing"
"BluetoothLinkStatus_Unknown" "Unknown"
"BluetoothLinkStatus_ViveLinkNotAccessible" "Executable not available"
"BluetoothLinkStatus_WrongToken" "Wrong token"
"BugReporter_CharactersRemaining" "%1 Characters Remaining"
"BugReporter_Description" "Description:"
"BugReporter_DescriptionRequired" "Please supply a description."
"BugReporter_Explanation" "Thank you for helping Valve improve SteamVR.\n\nThis bug reporter generates a SteamVR System Report which gathers system, environment, and SteamVR logging for use by Valve for diagnostics."
"BugReporter_FailedToCreateZip" "Failed to create ZIP attachment."
"BugReporter_ForPersonalSupport" "This is not a support ticket and you will not receive a direct response. To receive personalized SteamVR support from an agent, please visit the support site."
"BugReporter_IncludeCrashDumps" "Include Crash Dumps"
"BugReporter_IncludeReportAndLogs" "Include System Report And Logs"
"BugReporter_PreviewReport" "Preview Report"
"BugReporter_PreviewReportTitle" "Report A Bug - Preview Report"
"BugReporter_ProgressSubmitting" "Submitting..."
"BugReporter_ProgressSubmittingPercent" "Submitting...%1%"
"BugReporter_ReportType"	"Report Type:"
"BugReporter_ReportType_Bug" "Bug"
"BugReporter_ReportType_FeatureRequest" "Feature Request"
"BugReporter_ReportType_Feedback" "Feedback"
"BugReporter_SteamLoginRequired" "You need to be logged in to your Steam account to Report A Bug."
"BugReporter_SteamVRSupport" "SteamVR Support"
"BugReporter_Subject" "Subject:"
"BugReporter_SubjectRequired" "Please supply a subject."
"BugReporter_SubmissionFailure"	"Submission Failure.\n\nThe Bug Collector may be busy. Please try submitting again.\n\nError: %1\n"
"BugReporter_SubmissionSuccess"	"Submission Successful.\n\nThank You."
"BugReporter_SubmissionTimeout" "Submission Timeout.\n\nThe network upload is taking longer than expected. Please try again later.\n"
"BugReporter_Title"	"Report A Bug"
"Button_ResetCollisionBounds" "Reset to Default"
"CalibrateControllerTrackpad_End_LowerText" ""
"CalibrateControllerTrackpad_End_UpperText" "Your controller's trackpad is now calibrated."
"CalibrateControllerTrackpad_Progress_LowerText" ""
"CalibrateControllerTrackpad_Progress_UpperText" "Calibrating trackpad ..."
"CalibrateControllerTrackpad_Start_LowerText" "Make sure you are not touching the trackpad and click Next to continue."
"CalibrateControllerTrackpad_Start_UpperText" "This will calibrate your controller's trackpad. You should calibrate the trackpad if it seems jittery or you are seeing unexpected touches."
"CalibrateControllerTrackpad_Success" "Success!"
"CalibrateControllerTrackpad_Title" "Calibrate Controller Trackpad"
"CollisionBounds_Advanced" "Advanced"
"CollisionBounds_Beginner" "Beginner"
"CollisionBounds_Developer" "Developer"
"CollisionBounds_Intermediate" "Intermediate"
"CollisionBounds_Squares" "Squares"
"CompositorBackground_Color"		"Color"
"CompositorBackground_Header"		"Background Style"
"CompositorBackground_Image"		"Image"
"CompositorError_FailedToStartButNoError" "Compositor failed to start, but no error"
"CompositorError_NoCompositorRequested" "No Compositor requested (-nocompositor ?)"
"CompositorError_Running" "Running"
"Compositor_ResetToDefault" 		"Reset to Default"
"Compositor_SelectColorHeader"		"Select a color for your in-headset background."
"Compositor_SelectImage"			"Select Image..."
"Compositor_SelectImageHeader"		"Select an image for your in-headset background."
"DismissableWarning_BasestationSingleBaseModeHint" "Base Station Single Base Mode Hint (0x0008)"
"DismissableWarning_BasestationsTooFarApart" "Base Stations too far apart (0x0002)"
"DismissableWarning_BluetoothDriverFailedInstallation" "Bluetooth Driver failed installation (0x0100)"
"DismissableWarning_BluetoothDriverNeedsInstallation" "Bluetooth Driver needs installation (0x0080)"
"DismissableWarning_BluetoothLinkCommunicationFailed" "Bluetooth Link communication failed (0x0800)"
"DismissableWarning_BluetoothLinkFailedInstallation" "Bluetooth Link failed installation (0x0400)"
"DismissableWarning_BluetoothLinkNeedsInstallation" "Bluetooth Link needs installation (0x0200)"
"DismissableWarning_Detected" "Detected"
"DismissableWarning_DismissButton" "Dismiss"
"DismissableWarning_DisplayInExtendedMode" "Display in Extended Mode (0x10000)"
"DismissableWarning_MissedFrames" "Missed Frames (0x0020)"
"DismissableWarning_None" "No Warning"
"DismissableWarning_OpticalBasestationSyncWarning" "Optical Base Station Sync Warning (0x0004)"
"DismissableWarning_PowerSchemeIsNotHighPerformance" "Power Scheme is not High Performance (0x0040)"
"DismissableWarning_RunTutorialAgain" "Run Tutorial Again (0x0001)"
"DismissableWarning_SomeDisplaysAreMirroring" "Some Displays are mirroring (0x1000)"
"DismissableWarning_TimeFormat" "h:mm:ss AP"
"DismissableWarning_UnknownHardwareDetected" "Unknown Hardware Detected (0x2000)"
"DismissableWarning_WarningsForTheFirstTime" "Warnings for the first time (0x0010)"
"DismissableWarning_Windows8" "Windows 8 (0x8000)"
"DismissableWarning_WindowsAeroDisabled" "Windows Aero disabled (0x4000)"
"Explanation_DisableEnhancedPowerManagement" "Disable Windows Enhanced Power Management for SteamVR USB Devices if you experience mysterious loss of tracking or inability to pair wireless controllers. "
"Explanation_QuickCalibrate" "Quickly reset your Room Setup. For Standing and Room Scale VR new bounds will be centered on your headset on the floor in the center of your space."
"Explanation_RebootVive" "Reboot your Vive headset - this may fix USB related headset issues."
"Explanation_RemoveAllSteamVRUSBDevices" "Remove all USB devices related to SteamVR from this system to reinstall drivers."
"Explanation_ResetDismissableWarnings" "Temporary warnings are reset and will show again as needed."
"Explanation_ResetRuntimeAndQuit" "Reset your SteamVR path based on the directory SteamVR is launched from."
"Explanation_Supersampling" "Supersampling will cause all VR applications to render at higher (or lower) resolution than the native resolution of the attached headset.\n(1.0 is the default)"
"FirmwareWizard_AudioUpdate" "Audio Update"
"FirmwareWizard_BaseStationBluetoothBLEUpdate" "Wireless BLE Update"
"FirmwareWizard_BaseStationBluetoothMCUUpdate" "Wireless MCU Update"
"FirmwareWizard_CameraRecovery" "Camera Recovery"
"FirmwareWizard_CameraUpdate" "Camera Update"
"FirmwareWizard_DeviceOverview_NoUpdateDataAvailable" "No update data available"
"FirmwareWizard_DeviceOverview_TextContent" "Which device would you like to update?"
"FirmwareWizard_DeviceOverview_Title" "Update Firmware"
"FirmwareWizard_DeviceOverview_UpToDate" "Up to date"
"FirmwareWizard_DeviceOverview_UpdateAvailable" "Update available"
"FirmwareWizard_DisplayFPGAUpdate" "Display FPGA Update"
"FirmwareWizard_DisplayUpdate" "Display Update"
"FirmwareWizard_DongleUpdate" "Wireless Receiver Update"
"FirmwareWizard_EnterBootloaderMode" "Enter Bootloader Mode"
"FirmwareWizard_ExitBootloaderMode" "Exit Bootloader Mode"
"FirmwareWizard_Information_Title" "Firmware Update"
"FirmwareWizard_ProgressTextLeft" "("
"FirmwareWizard_ProgressTextMiddle" "of"
"FirmwareWizard_ProgressTextRight" ")"
"FirmwareWizard_RadioUpdate" "Radio Update"
"FirmwareWizard_ShutdownForMandatoryUpdate_TextContent" "Your Vive headset requires a firmware update to continue using SteamVR.\n\nWould you like to continue?"
"FirmwareWizard_ShutdownForRecovery_TextContent" "A component of your Vive hardware requires a firmware update to restore it to an operational state.\n\nWould you like to continue?"
"FirmwareWizard_Shutdown_TextContent" "To update firmware, we will need to quit all of your currently running VR applications.\n\nWould you like to continue?"
"FirmwareWizard_Shutdown_Title" "Update Firmware"
"FirmwareWizard_UpdateBasestationWireless_Fail_LowerText" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateBasestationWireless_Fail_MiddleText" "If this continues to fail, quit SteamVR and power cycle your base station. Then launch SteamVR, and try again."
"FirmwareWizard_UpdateBasestationWireless_Fail_Title" "Firmware Base Station Failed"
"FirmwareWizard_UpdateBasestationWireless_Fail_UpperText" "Firmware update failed."
"FirmwareWizard_UpdateBasestationWireless_Success_LowerText" ""
"FirmwareWizard_UpdateBasestationWireless_Success_MiddleText" "Base Station firmware successfully updated. You may need to power cycle the base station before the firmware registers as updated."
"FirmwareWizard_UpdateBasestationWireless_Success_Title" "Update Base Station Firmware"
"FirmwareWizard_UpdateBasestationWireless_Success_UpperText" "Success!"
"FirmwareWizard_UpdateBasestation_Bluetooth" "Wireless"
"FirmwareWizard_UpdateBasestation_Choice_LowerText" ""
"FirmwareWizard_UpdateBasestation_Choice_MiddleText" "The update can happen manually or wirelessly."
"FirmwareWizard_UpdateBasestation_Choice_Title" "Update Base Station Firmware"
"FirmwareWizard_UpdateBasestation_Choice_UpperText" ""
"FirmwareWizard_UpdateBasestation_Continue" "Continue"
"FirmwareWizard_UpdateBasestation_Fail_LowerText" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateBasestation_Fail_MiddleText" "Make sure your base station is securely connected to your computer by micro-USB. If this continues to fail, quit SteamVR and unplug your base station from power. Then launch SteamVR, and try again."
"FirmwareWizard_UpdateBasestation_Fail_Title" "Firmware Base Station Failed"
"FirmwareWizard_UpdateBasestation_Fail_UpperText" "Firmware update failed."
"FirmwareWizard_UpdateBasestation_Manual" "Manual"
"FirmwareWizard_UpdateBasestation_Progress_LowerText" "WARNING: Do not unplug the base station, plug in any additional devices, or make any other system changes while firmware is being updated. Doing so can render this base station unusable."
"FirmwareWizard_UpdateBasestation_Progress_MiddleText" "Updating base station firmware. This could take several minutes..."
"FirmwareWizard_UpdateBasestation_Progress_Title" "Update Base Station Firmware"
"FirmwareWizard_UpdateBasestation_Progress_UpperText" ""
"FirmwareWizard_UpdateBasestation_Start_LowerText" "4. The firmware update will start automatically once your base station is detected."
"FirmwareWizard_UpdateBasestation_Start_MiddleText" "1. Unmount and unplug your base station from power - make sure not to accidentally press the mode button while unplugging the base station.\n\n2. Use a micro-USB cable to plug the base station into a USB port on your computer. You can use the same cable that is used to charge your controllers.\n\n3. While holding down the channel button on the back of the base station, plug in your base station's power cord."
"FirmwareWizard_UpdateBasestation_Start_Title" "Update Base Station Firmware"
"FirmwareWizard_UpdateBasestation_Start_UpperText" ""
"FirmwareWizard_UpdateBasestation_Success_LowerText" "When re-mounting, make sure your bases are still set to the proper channels (B and C for wireless sync, A and B for cabled sync)."
"FirmwareWizard_UpdateBasestation_Success_MiddleText" "Base Station firmware successfully updated. You may need to power cycle the base station before the firmware registers as updated."
"FirmwareWizard_UpdateBasestation_Success_Title" "Update Base Station Firmware"
"FirmwareWizard_UpdateBasestation_Success_UpperText" "Success!"
"FirmwareWizard_UpdateBasestation_WirelessProgress_LowerText" "WARNING: Do not unplug the base station, plug in any additional devices, or make any other system changes while firmware is being updated. Doing so can render this base station unusable."
"FirmwareWizard_UpdateBasestation_WirelessProgress_MiddleText" "Updating base station firmware. This could take several minutes..."
"FirmwareWizard_UpdateBasestation_WirelessProgress_Title" "Update Base Station Firmware"
"FirmwareWizard_UpdateBasestation_WirelessProgress_UpperText" ""
"FirmwareWizard_UpdateBasestation_Wireless_LowerText" ""
"FirmwareWizard_UpdateBasestation_Wireless_MiddleText" "This update will happen wirelessly. Do not unplug your base stations while they are being updated."
"FirmwareWizard_UpdateBasestation_Wireless_Title" "Update Base Station Firmware"
"FirmwareWizard_UpdateBasestation_Wireless_UpperText" ""
"FirmwareWizard_UpdateController_Fail_LowerText" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateController_Fail_MiddleText" "Make sure your controller is securely connected to your computer by micro-USB. If this continues to fail, quit SteamVR. If your controller didn't turn off, power it off by pressing and holding the system button. Then launch SteamVR and try again."
"FirmwareWizard_UpdateController_Fail_Title" "Firmware Update Failed"
"FirmwareWizard_UpdateController_Fail_UpperText" "Firmware update failed."
"FirmwareWizard_UpdateController_Progress_LowerText" "WARNING: Do not unplug the controller, plug in any additional devices, or make any other system changes while firmware is being updated. Doing so can render this controller unusable."
"FirmwareWizard_UpdateController_Progress_MiddleText" "Updating controller firmware. This could take several minutes..."
"FirmwareWizard_UpdateController_Progress_Title" "Update Controller Firmware"
"FirmwareWizard_UpdateController_Progress_UpperText" "" 
"FirmwareWizard_UpdateController_Start_LowerText" "The firmware update will start automatically once your controller is detected."
"FirmwareWizard_UpdateController_Start_MiddleText" "Plug this controller into your computer with a micro-USB cable. You can use the same cable that is used to charge your controllers."
"FirmwareWizard_UpdateController_Start_Title" "Update Controller Firmware"
"FirmwareWizard_UpdateController_Start_UpperText" ""
"FirmwareWizard_UpdateController_Success_LowerText" "Click 'Done' to finish, or 'Update More Firmware' if you have more hardware to update. "
"FirmwareWizard_UpdateController_Success_MiddleText" "Controller firmware successfully updated. You may need to power cycle the controller before the firmware registers as updated. "
"FirmwareWizard_UpdateController_Success_Title" "Update Controller Firmware"
"FirmwareWizard_UpdateController_Success_UpperText" "Success!"
"FirmwareWizard_UpdateGenericTracker_Fail_LowerText" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateGenericTracker_Fail_MiddleText" "Make sure your tracker is securely connected to your computer by micro-USB. If this continues to fail, quit SteamVR. If your tracker didn't turn off, power it off by pressing and holding the system button. Then launch SteamVR and try again."
"FirmwareWizard_UpdateGenericTracker_Fail_Title" "Firmware Update Failed"
"FirmwareWizard_UpdateGenericTracker_Fail_UpperText" "Firmware update failed."
"FirmwareWizard_UpdateGenericTracker_Progress_LowerText" "WARNING: Do not unplug the tracker, plug in any additional devices, or make any other system changes while firmware is being updated. Doing so can render this tracker unusable."
"FirmwareWizard_UpdateGenericTracker_Progress_MiddleText" "Updating tracker firmware. This could take several minutes..."
"FirmwareWizard_UpdateGenericTracker_Progress_Title" "Update Tracker Firmware"
"FirmwareWizard_UpdateGenericTracker_Progress_UpperText" "" 
"FirmwareWizard_UpdateGenericTracker_Start_LowerText" "The firmware update will start automatically once your tracker is detected."
"FirmwareWizard_UpdateGenericTracker_Start_MiddleText" "Plug this tracker into your computer with a micro-USB cable. You can use the same cable that is used to charge your tracker."
"FirmwareWizard_UpdateGenericTracker_Start_Title" "Update Tracker Firmware"
"FirmwareWizard_UpdateGenericTracker_Start_UpperText" ""
"FirmwareWizard_UpdateGenericTracker_Success_LowerText" "Click 'Done' to finish, or 'Update More Firmware' if you have more hardware to update. "
"FirmwareWizard_UpdateGenericTracker_Success_MiddleText" "Tracker firmware successfully updated. You may need to power cycle the tracker before the firmware registers as updated. "
"FirmwareWizard_UpdateGenericTracker_Success_Title" "Update Tracker Firmware"
"FirmwareWizard_UpdateGenericTracker_Success_UpperText" "Success!"
"FirmwareWizard_UpdateHeadset_Fail_LowerText" "Click 'Retry' below to try again."
"FirmwareWizard_UpdateHeadset_Fail_MiddleText" "Make sure your headset is connected properly and securely. If this continues to fail, quit SteamVR and unplug your headset from power. Then plug your headset back in, launch SteamVR, and try again."
"FirmwareWizard_UpdateHeadset_Fail_Title" "Firmware Update Failed"
"FirmwareWizard_UpdateHeadset_Fail_UpperText" "Firmware update failed."
"FirmwareWizard_UpdateHeadset_Progress_LowerText" "WARNING: Do not unplug the headset, plug in any additional devices, or make any other system changes while firmware is being updated. Doing so can render this headset unusable."
"FirmwareWizard_UpdateHeadset_Progress_MiddleText" "Updating headset firmware. This could take several minutes..."
"FirmwareWizard_UpdateHeadset_Progress_Title" "Update Headset Firmware"
"FirmwareWizard_UpdateHeadset_Progress_UpperText" ""
"FirmwareWizard_UpdateHeadset_Start_LowerText" "\nThe firmware update will start automatically once your headset is detected."
"FirmwareWizard_UpdateHeadset_Start_MiddleText" "Plug the headset into your computer."
"FirmwareWizard_UpdateHeadset_Start_Title" "Update Headset Firmware"
"FirmwareWizard_UpdateHeadset_Start_UpperText" ""
"FirmwareWizard_UpdateHeadset_Success_LowerText"  "Click 'Done' to finish, or 'Update More Firmware' if you have more hardware to update."
"FirmwareWizard_UpdateHeadset_Success_MiddleText" "Headset firmware successfully updated. You may need to power cycle the headset before the firmware registers as updated."
"FirmwareWizard_UpdateHeadset_Success_Title" "Update Headset Firmware"
"FirmwareWizard_UpdateHeadset_Success_UpperText" "Success!"
"FirmwareWizard_UpdateMoreFirmware" "Update More Firmware"
"FirmwareWizard_VRCUpdate" "VRC Update"
"FirmwareWizard_WaitingForShutdown_TextContent" "Preparing system for firmware update..."
"FirmwareWizard_WatchmanDiskUpdate" "Watchman Disk Update"
"FirmwareWizard_WatchmanFPGAUpdate" "Watchman FPGA Update"
"FirmwareWizard_WatchmanRecovery" "Watchman Recovery"
"FirmwareWizard_WatchmanUpdate" "Watchman Update"		
"FirmwareWizard_WizardIsAlreadyBusy_Message" "The firmware update can not be started at this time: there is already an update in progress."
"FrameTiming_5sStats" "Drops in last %1s:\n  %2 single frame\n  %3 2 frame\n  %4 3 frame\n  %5 4 or more\n Total %6\n"
"FrameTiming_Compositor" "Compositor"
"FrameTiming_Config" "Warn if over %3s we see\n   %1 single frames missed\n   or %2 multi frame drops"
"FrameTiming_Idle" "Idle"
"FrameTiming_LateStart" "Late Start"
"FrameTiming_Other" "Other"
"FrameTiming_Pause" "Pause"
"FrameTiming_PostSubmit" "Application (other)"
"FrameTiming_PreSubmit" "Application (scene)"
"FrameTiming_Raw" "Details"
"FrameTiming_ShowInHeadset" "Show in Headset"
"FrameTiming_Title" "Frame Timing"
"FrameTiming_Vsync" "Vsync"
"HeadsetWarn_MissedFrames" "Missed Frames"
"Info_UnknownURL_Message" "That link isn
"Info_UnknownURL_Title" "SteamVR"
"KnockKnock_Button" "Knock Knock"
"KnockKnock_Notification_Text" "Knock Knock\nSomeone outside VR would like your attention."
"KnockKnock_Text" "I am in VR right now. If you would like to get my attention please press the button below or press the '%1' key."
"KnockKnock_Title" "Knock Knock"
"Language" "English"
"Log_Button_Clear" "Clear"
"Log_Button_LoadCompleteFile" "Load Complete File"
"Log_Button_ShowInExplorer" "Show in Explorer"
"Log_Text_MoreLineInTheActualFile" "MORE LINES IN THE ACTUAL FILE\n\n"
"Log_Window_Title" "Log - %1"
"Main_CanSetInstallationPath_Message" "The installation path could not be located.\n\nSteamVR can set an installation path based on its current executable path."
"Main_Information_Title" "SteamVR"
"Main_JumplistEntry_Advanced" "Advanced"
"Main_JumplistEntry_Quit" "Quit"
"Main_JumplistEntry_RunFirstApplication" "Run First Application"
"Main_JumplistEntry_RunRoomSetup" "Run Room Setup"
"Main_JumplistEntry_RunTutorial" "Run Tutorial"
"Main_JumplistEntry_Settings" "Settings"
"Main_JumplistEntry_SystemReport" "System Report"
"Main_RuntimeFailed_Message" "The runtime was not able to start.\n\n%1\n\nYou can reset the current set runtime\n%2\nbased on the executable path of SteamVR\n%3\n"
"Main_Systray_Error_Message" "There is no systray on this system."
"Main_Systray_Error_Title" "Systray"
"MenuAction_AboutQt" "About Qt"
"MenuAction_About_vrmonitor" "About SteamVR"
"MenuAction_CalibrateController" "Calibrate Controller"
"MenuAction_ClearRecentPlaylist" "Clear Recent Playlist"
"MenuAction_Compositor_HideMirror" "Hide Mirror"
"MenuAction_Compositor_ShowMirror" "Show Mirror"
"MenuAction_CouldNotReadLogFiles" "Could not read logfiles"
"MenuAction_Crash" "Crash"
"MenuAction_CreateSystemReport" "Create System Report"
"MenuAction_Devices" "Devices"
"MenuAction_Diagnostics" "Advanced"
"MenuAction_DiagnosticsMenu" "Diagnostics"
"MenuAction_DirectMode" "Direct Mode"
"MenuAction_Directories" "Directories"
"MenuAction_DisableDirectMode" "Disable Direct Mode"
"MenuAction_DisableEnhancedPowerManagement" "Disable Power Management"
"MenuAction_DisplayFrameTiming" "Display Frame Timing"
"MenuAction_DisplayMirror" "Display Mirror"
"MenuAction_EnableDirectMode" "Enable Direct Mode"
"MenuAction_FirmwareUpdate" "Update Firmware"
"MenuAction_ForceFirmware" "Force Firmware"
"MenuAction_Help" "Help"
"MenuAction_HideDisplayMirror" "Hide Display Mirror"
"MenuAction_IdentifyBaseStation" "Identify Base Station"
"MenuAction_IdentifyController" "Identify Controller"
"MenuAction_KnockKnock" "Knock Knock"
"MenuAction_LogFiles" "Log Files"
"MenuAction_MainPlaylistMenu" "Playlists"
"MenuAction_ModelDirectory_Browse" "Browse Model Directory"
"MenuAction_More" "More"
"MenuAction_PairController" "Pair Controller"
"MenuAction_PairTracker" "Pair Tracker"
"MenuAction_PairingWizard" "Pair Controller"
"MenuAction_PlaylistEditor" "Playlist Editor"
"MenuAction_PlaylistPlayer" "Playlist Player"
"MenuAction_PowerOffController" "Power Off Controller"
"MenuAction_PowerOffTracker" "Power Off Tracker"
"MenuAction_QuickCalibrate" "Quick Calibrate"
"MenuAction_Quit" "Quit"
"MenuAction_RebootVive" "Reboot Vive headset"
"MenuAction_RecentPlaylist" "Recent"
"MenuAction_RecentPlaylists" "Recent Playlists"
"MenuAction_RecordTrackingData" "Record Tracking Data"
"MenuAction_RefreshStatusNow" "Refresh Status Now"
"MenuAction_RemoveAllSteamVRUSBDevices" "Remove all SteamVR USB Devices"
"MenuAction_ReportABug" "Report A Bug"
"MenuAction_ResetAllSettingsAndQuit" "Reset all Settings and Restart"
"MenuAction_ResetDismissableWarnings" "Reset Warnings"
"MenuAction_ResetRuntimeAndQuit" "Reset SteamVR path"
"MenuAction_RoomOverview" "Room Overview"
"MenuAction_RunPlaylist" "Run Playlist"
"MenuAction_RunRoomSetup" "Run Room Setup"
"MenuAction_RunTutorial" "Run Tutorial"
"MenuAction_SetConfigDirectory" "Set Config Directory"
"MenuAction_SetLogDirectory" "Set Log Directory"
"MenuAction_Settings" "Settings"
"MenuAction_ShowConfigDirectory" "Show Config Directory"
"MenuAction_ShowDisplayMirror" "Show Display Mirror"
"MenuAction_ShowLogDirectory" "Show Log Directory"
"MenuAction_ShowRuntimeDirectory" "Show Runtime Directory"
"MenuAction_StatusBar" "Status"
"MenuAction_SteamVRCommunity" "SteamVR Community"
"MenuAction_SteamVRCommunity_URL" "http://steamcommunity.com/app/250820/discussions/"
"MenuAction_SteamVRDeveloperSupport" "SteamVR Developer Support"
"MenuAction_SteamVRDeveloperSupport_URL" "https://developer.valvesoftware.com/wiki/SteamVR"
"MenuAction_SteamVRHardwareDiscussions" "SteamVR Hardware Discussions"
"MenuAction_SteamVRHardwareDiscussions_URL" "http://steamcommunity.com/app/358720/discussions/"
"MenuAction_SteamVRWebsite" "SteamVR Support"
"MenuAction_SteamVRWebsite_URL" "http://steamvr.steampowered.com"
"MenuAction_SteamWorksDeveloperSupport" "SteamWorks Developer Support"
"MenuAction_SteamWorksDeveloperSupport_URL" "http://steamcommunity.com/groups/steamworks/discussions"
"MenuAction_StopRecording" "Stop Recording"
"MenuAction_UpdateFirmware" "Update Firmware"
"MenuAction_ViewLogDirectory" "View Logs"
"MenuAction_WakeupAllBaseStations" "Wakeup All Base Stations"
"MenuAction_Workshop" "Workshop"
"MenuAction_Workshop_Browse" "Browse Workshop"
"MenuAction_Workshop_EditItem" "Modify Existing"
"MenuAction_Workshop_UploadItem" "Upload New"
"MessageBox_Cancel" "Cancel"
"MessageBox_Continue" "Continue"
"MessageBox_Done" "Done"
"MessageBox_Exit" "Exit"
"MessageBox_Next" "Next"
"MessageBox_OK" "OK"
"MessageBox_RestartLater" "Restart Later"
"MessageBox_RestartNow" "Restart SteamVR"
"MessageBox_RestartSteamVR" "Restarting SteamVR..."
"MessageBox_Retry" "Retry"
"MessageBox_SetAndRestart" "Set and Restart"
"MessageBox_Submit" "Submit"
"MessageBox_Yes" "Yes"
"MonitorController_ApplicationCouldNotStart" "Could not start %1. Error was %2."
"MonitorController_ApplicationsInterfaceNotAvailable" "Could not start %1. Applications interface not available."
"MonitorController_DisableDirectMode_Text" "WARNING: Disabling Direct Mode will extend the headset onto the desktop, and is not recommended. Are you sure you want to disable Direct Mode? SteamVR will restart after this change is made."
"MonitorController_EnableDirectMode_Text" "SteamVR will restart after enabling Direct Mode. Do you want to continue?"
"MonitorController_Information_Title" "SteamVR"
"MonitorController_LoadPlaylist" "Load Playlist"
"MonitorController_NotAbleToMakeCompositorFullscreen" "Not able to make the compositor fullscreen."
"MonitorController_NotAbleToStartSteam" "Not able to start Steam."
"MonitorController_ResetCompleteSetup_Text" "This will reset your complete system, but all removed files will have a backup copy.\n\n- All settings of SteamVR will be removed\n- The settings for the runtime will be removed\n- The room setup data will be removed\n\nThe application will restart after the reset!\n"
"MonitorController_RestartSystemNotPossible" "At this time the system can not be restarted automatically. \nPlease quit SteamVR and start again, and if this does not help reboot the whole system."
"MonitorController_SelectRecordingDirectory" "Select Recording Directory"
"MonitorController_SwitchDirectMode_Header" "Direct Mode"
"MonitorController_Version" "Version %1"
"NeedRoomSetupNoLaunch_Message" "Room Setup Needed"
"NeedRoomSetupNoLaunch_Message" "This application cannot run until Room Setup is complete. Would you like to run Room Setup now?"
"PairingWizard_CheckForDongles_Content" "Check for available wireless receivers..."
"PairingWizard_CheckForDongles_Header" ""
"PairingWizard_CheckForDongles_Title" ""
"PairingWizard_HelperAppFailed_Content" "Calling the helper application failed with error %1."
"PairingWizard_HelperAppFailed_Error_Crashed" "'Crashed' (1)"
"PairingWizard_HelperAppFailed_Error_FailedToStart" "'Failed to Start' (0)"
"PairingWizard_HelperAppFailed_Error_ReadError" "'ReadError' (3)"
"PairingWizard_HelperAppFailed_Error_Timedout" "'Timedout' (2)"
"PairingWizard_HelperAppFailed_Error_UnknownError" "'UnknownError' (5)"
